Name,GP,G,A,TP,PPG,PIM,Period,Years,POS
John Carter,244.0,40.0,50.0,90.0,0.369,201.0,1985-1993,8.0,LW
Warren Miller,262.0,40.0,50.0,90.0,0.344,137.0,1979-1983,4.0,RW/C
Mike Peluso,458.0,38.0,52.0,90.0,0.19699999999999998,1951.0,1989-1998,9.0,D/LW
Dan Hinote,503.0,38.0,52.0,90.0,0.179,383.0,1999-2009,9.0,RW
Luciano Borsato,203.0,35.0,55.0,90.0,0.44299999999999995,113.0,1990-1995,5.0,C
Rik Wilson,251.0,25.0,65.0,90.0,0.359,220.0,1981-1988,6.0,D
Chris Dahlquist,532.0,19.0,71.0,90.0,0.16899999999999998,488.0,1985-1996,11.0,D
Daniel Tjarnqvist,352.0,18.0,72.0,90.0,0.256,128.0,2001-2009,6.0,D
Brayden McNabb,466.0,18.0,72.0,90.0,0.193,363.0,2011-2021,9.0,D
Larry Carriere,367.0,16.0,74.0,90.0,0.245,462.0,1972-1980,7.0,D
Dale Hoganson,343.0,13.0,77.0,90.0,0.262,186.0,1969-1982,7.0,D
Matt Ravlich,410.0,12.0,78.0,90.0,0.22,364.0,1962-1973,10.0,D
Brady Tkachuk,142.0,43.0,46.0,89.0,0.627,181.0,2018-2021,3.0,LW
Hap Emms,320.0,36.0,53.0,89.0,0.278,311.0,1926-1938,10.0,LW
Iain Duncan,127.0,34.0,55.0,89.0,0.701,149.0,1986-1991,4.0,LW
Paulin Bordeleau,183.0,33.0,56.0,89.0,0.486,47.0,1973-1976,3.0,C
Art Somers,222.0,33.0,56.0,89.0,0.401,189.0,1929-1935,6.0,C
Dave Kryskow,231.0,33.0,56.0,89.0,0.385,174.0,1972-1976,4.0,LW
Herb Raglan,343.0,33.0,56.0,89.0,0.259,775.0,1985-1994,9.0,LW
Glen Cochrane,411.0,17.0,72.0,89.0,0.217,1556.0,1978-1989,10.0,D
Greg Hotham,230.0,15.0,74.0,89.0,0.387,139.0,1979-1985,6.0,D
Larry Giroux,274.0,15.0,74.0,89.0,0.325,333.0,1973-1980,7.0,D
Nathan Beaulieu,370.0,12.0,77.0,89.0,0.24100000000000002,256.0,2012-2021,9.0,D
Yvon Corriveau,280.0,48.0,40.0,88.0,0.314,310.0,1985-1994,9.0,LW
