#,Player,GP,G,A,TP,PPG,PIM,Period,Years,Name,POS
2010.0,Noel Price (D),499.0,14.0,114.0,128.0,0.257,333.0,1957-1976,14.0,Noel Price ,D)
2011.0,Regis Kelly (RW),288.0,74.0,53.0,127.0,0.441,105.0,1934-1942,8.0,Regis Kelly ,RW)
2012.0,Cody McLeod (LW),775.0,72.0,55.0,127.0,0.16399999999999998,1628.0,2007-2019,12.0,Cody McLeod ,LW)
2013.0,Anthony Beauvillier (LW),286.0,66.0,61.0,127.0,0.444,49.0,2016-2021,5.0,Anthony Beauvillier ,LW)
2014.0,Kris Manery (RW),250.0,63.0,64.0,127.0,0.508,91.0,1977-1981,4.0,Kris Manery ,RW)
2015.0,Scott Nichol (C),662.0,56.0,71.0,127.0,0.192,916.0,1995-2013,13.0,Scott Nichol ,C)
2016.0,Derek Dorsett (RW),515.0,51.0,76.0,127.0,0.247,1314.0,2008-2019,11.0,Derek Dorsett ,RW)
2017.0,Deryk Engelland (D),671.0,30.0,97.0,127.0,0.18899999999999997,579.0,2009-2020,11.0,Deryk Engelland ,D)
2018.0,Adam Larsson (D),547.0,21.0,106.0,127.0,0.23199999999999998,323.0,2011-2021,10.0,Adam Larsson ,D)
2019.0,Dave Farrish (D),430.0,17.0,110.0,127.0,0.295,440.0,1976-1984,7.0,Dave Farrish ,D)
2020.0,John Sheppard (LW),308.0,68.0,58.0,126.0,0.409,224.0,1926-1934,8.0,John Sheppard ,LW)
2021.0,Eddie Kullman (F),343.0,56.0,70.0,126.0,0.36700000000000005,298.0,1947-1954,6.0,Eddie Kullman ,F)
2022.0,Paul Lawless (LW),239.0,49.0,77.0,126.0,0.527,54.0,1982-1990,7.0,Paul Lawless ,LW)
2023.0,Niko Kapanen (C),397.0,36.0,90.0,126.0,0.317,160.0,2001-2008,6.0,Niko Kapanen ,C)
2024.0,Cody Ceci (D),496.0,33.0,93.0,126.0,0.254,108.0,2013-2021,8.0,Cody Ceci ,D)
2025.0,Hannu Virta (D),245.0,25.0,101.0,126.0,0.514,66.0,1981-1986,5.0,Hannu Virta ,D)
2026.0,Randy Hillier (D),543.0,16.0,110.0,126.0,0.23199999999999998,906.0,1981-1992,11.0,Randy Hillier ,D)
2027.0,Jack Adams (C),173.0,81.0,44.0,125.0,0.723,384.0,1917-1927,7.0,Jack Adams ,C)
2028.0,Steven Rice (RW),329.0,64.0,61.0,125.0,0.38,275.0,1990-1998,8.0,Steven Rice ,RW)
2029.0,Russ Blinco (C),268.0,59.0,66.0,125.0,0.466,24.0,1933-1939,6.0,Russ Blinco ,C)
2030.0,Dale Weise (RW),513.0,55.0,70.0,125.0,0.244,355.0,2010-2020,10.0,Dale Weise ,RW)
2031.0,Derek MacKenzie (C/LW),611.0,51.0,74.0,125.0,0.205,337.0,2001-2019,16.0,Derek MacKenzie ,C/LW)
2032.0,Vic Lynn (LW),327.0,49.0,76.0,125.0,0.382,274.0,1942-1954,11.0,Vic Lynn ,LW)
2033.0,Yannick Tremblay (D),390.0,38.0,87.0,125.0,0.321,178.0,1996-2007,9.0,Yannick Tremblay ,D)
2034.0,Jonathan Ericsson (D),680.0,27.0,98.0,125.0,0.184,535.0,2007-2020,13.0,Jonathan Ericsson ,D)
2035.0,Jay McKee (D),802.0,21.0,104.0,125.0,0.156,622.0,1995-2010,14.0,Jay McKee ,D)
2036.0,Magnus Pääjärvi (LW),467.0,62.0,62.0,124.0,0.266,78.0,2010-2019,9.0,Magnus Pääjärvi ,LW)
